year,periodName,value,ID,area_code,laus_check
2003,May,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,April,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,March,6.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,February,6.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,January,7.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,December,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,November,6.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,October,6.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,September,6.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,August,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,July,6.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,June,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,May,6.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,April,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,March,6.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,February,6.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2002,January,6.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,December,5.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,November,5.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,October,5.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,September,5.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,August,5.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,July,4.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,June,4.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,May,4.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,April,4.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,March,4.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,February,4.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2001,January,4.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,December,3.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,November,4.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,October,4.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,September,4.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,August,4.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,July,4.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,June,4.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,May,4.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,April,4.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,March,4.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,February,5.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2000,January,5.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,December,4.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,November,4.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,October,4.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,September,5.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,August,5.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,July,5.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,June,5.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,May,4.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,April,5.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,March,5.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,February,5.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1999,January,5.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,December,4.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,November,5.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,October,5.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,September,5.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,August,5.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,July,5.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,June,5.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,May,5.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,April,5.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,March,6.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,February,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1998,January,6.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,December,5.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,November,5.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,October,6.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,September,6.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,August,6.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,July,6.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,June,6.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,May,6.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,April,6.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,March,7.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,February,7.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1997,January,7.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,December,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,November,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,October,6.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,September,6.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,August,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,July,7.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,June,6.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,May,6.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,April,6.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,March,7.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,February,7.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1996,January,7.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,December,6.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,November,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,October,6.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,September,6.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,August,6.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,July,7.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,June,6.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,May,6.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,April,6.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,March,6.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,February,6.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1995,January,7.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,December,5.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,November,6.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,October,6.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,September,6.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,August,7.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,July,7.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,June,7.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,May,7.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,April,7.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,March,8.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,February,8.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1994,January,8.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,December,7.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,November,7.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,October,8.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,September,8.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,August,8.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,July,8.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,June,8.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,May,8.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,April,8.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,March,8.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,February,9.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1993,January,9.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,December,8.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,November,8.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,October,9.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,September,9.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,August,9.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,July,9.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,June,9.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,May,9.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,April,8.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,March,8.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,February,9.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1992,January,8.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,December,7.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,November,7.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,October,7.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,September,7.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,August,7.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,July,7.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,June,7.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,May,7.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,April,6.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,March,7.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,February,7.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1991,January,6.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,December,5.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,November,5.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,October,5.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,September,5.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,August,5.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,July,5.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,June,4.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,May,5.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,April,4.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,March,5.1,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,February,5.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
1990,January,5.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,December,4.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,November,4.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,October,4.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,September,4.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,August,4.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,July,5.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,June,4.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,May,4.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,April,4.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,March,5.1,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,February,5.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2005,January,5.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,December,4.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,November,4.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,October,4.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,September,4.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,August,5.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,July,5.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,June,5.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,May,5.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,April,4.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,March,5.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,February,5.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2004,January,5.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,December,4.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,November,5.1,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,October,5.1,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,September,5.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,August,5.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,July,5.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,June,5.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,May,5.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,April,5.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,March,5.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,February,5.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2003,January,5.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,December,5.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,November,5.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,October,5.1,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,September,5.1,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,August,5.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,July,5.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,June,5.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,May,5.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,April,5.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,March,5.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,February,5.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2002,January,5.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,December,4.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,November,4.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,October,4.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,September,4.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,August,4.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,July,4.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,June,4.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,May,4.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,April,3.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,March,4.1,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,February,4.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2001,January,4.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,December,3.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,November,3.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,October,3.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,September,3.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,August,4.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,July,4.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,June,4.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,May,3.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,April,3.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,March,4.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,February,4.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
2000,January,4.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,December,3.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,November,3.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,October,4.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,September,4.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,August,4.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,July,4.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,June,4.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,May,3.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,April,3.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,March,4.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,February,4.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1999,January,4.1,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,December,3.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,November,3.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,October,4.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,September,4.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,August,4.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,July,4.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,June,4.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,May,4.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,April,3.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,March,4.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,February,4.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1998,January,4.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,December,3.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,November,4.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,October,4.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,September,4.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,August,4.9,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,July,5.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,June,5.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,May,4.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,April,4.6,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,March,5.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,February,5.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1997,January,5.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,December,4.7,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,November,5.1,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,October,5.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,September,5.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,August,5.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,July,5.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,June,5.3,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,May,5.5,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,April,5.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,March,5.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,February,5.8,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1996,January,6.2,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1995,December,5.0,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
1995,November,5.4,LAUMT423798000000003,MT4237980000000,Philadelphia-Camden-Wilmington
